972,0,2022-06-15,85,7,75.0,3.0,0.0,4011,958
972,1,2022-06-15,47,3,41.0,3.0,0.0,1935,518
972,2,2022-06-15,33,4,29.0,0.0,0.0,2053,434
973,0,2022-06-15,20,4,14.0,0.0,2.0,5679,393
973,1,2022-06-15,5,0,5.0,0.0,0.0,2193,230
973,2,2022-06-15,15,4,9.0,0.0,2.0,3464,161
974,0,2022-06-15,202,13,119.0,69.0,1.0,6927,820
974,1,2022-06-15,112,10,67.0,34.0,1.0,3250,449
974,2,2022-06-15,88,3,51.0,34.0,0.0,3634,367
976,0,2022-06-15,7,0,7.0,0.0,0.0,1654,162
976,1,2022-06-15,5,0,5.0,0.0,0.0,687,99
976,2,2022-06-15,2,0,2.0,0.0,0.0,942,61
978,0,2022-06-15,0,0,0.0,0.0,0.0,0,0
978,1,2022-06-15,0,0,0.0,0.0,0.0,0,0
01,0,2022-06-16,130,2,39.0,87.0,2.0,4118,782
01,1,2022-06-16,62,1,19.0,41.0,1.0,2018,455
01,2,2022-06-16,66,1,19.0,45.0,1.0,2071,324
02,0,2022-06-16,92,7,43.0,38.0,4.0,6644,1447
02,1,2022-06-16,41,4,16.0,20.0,1.0,3171,783
02,2,2022-06-16,51,3,27.0,18.0,3.0,3437,653
03,0,2022-06-16,60,0,18.0,41.0,1.0,4166,821
03,1,2022-06-16,29,0,9.0,19.0,1.0,2006,470
03,2,2022-06-16,29,0,8.0,21.0,0.0,2124,340
04,0,2022-06-16,58,1,25.0,32.0,0.0,1959,358
04,1,2022-06-16,34,1,12.0,21.0,0.0,945,202
04,2,2022-06-16,24,0,13.0,11.0,0.0,983,148
05,0,2022-06-16,42,0,17.0,24.0,1.0,2303,362
05,1,2022-06-16,18,0,9.0,9.0,0.0,1159,206
05,2,2022-06-16,23,0,8.0,14.0,1.0,1124,153
06,0,2022-06-16,244,9,114.0,113.0,8.0,11333,2382
06,1,2022-06-16,112,6,57.0,45.0,4.0,5671,1363
06,2,2022-06-16,122,2,51.0,65.0,4.0,5477,985
07,0,2022-06-16,20,0,20.0,0.0,0.0,3413,624
07,1,2022-06-16,11,0,11.0,0.0,0.0,1628,366
07,2,2022-06-16,9,0,9.0,0.0,0.0,1740,255
08,0,2022-06-16,61,0,17.0,39.0,5.0,1782,483
08,1,2022-06-16,22,0,6.0,14.0,2.0,888,276
08,2,2022-06-16,37,0,9.0,25.0,3.0,879,206
09,0,2022-06-16,11,1,3.0,7.0,0.0,1052,208
09,1,2022-06-16,4,1,1.0,2.0,0.0,511,113
09,2,2022-06-16,7,0,2.0,5.0,0.0,535,95
10,0,2022-06-16,33,0,23.0,9.0,1.0,3007,572
10,1,2022-06-16,18,0,13.0,5.0,0.0,1503,339
10,2,2022-06-16,15,0,10.0,4.0,1.0,1486,230
11,0,2022-06-16,89,1,44.0,38.0,6.0,2677,592
11,1,2022-06-16,40,1,23.0,14.0,2.0,1321,334
11,2,2022-06-16,47,0,20.0,23.0,4.0,1331,242
12,0,2022-06-16,66,0,47.0,18.0,1.0,2047,380
12,1,2022-06-16,33,0,23.0,9.0,1.0,1012,223
12,2,2022-06-16,33,0,24.0,9.0,0.0,1005,152
13,0,2022-06-16,429,45,159.0,224.0,1.0,38986,5610
13,1,2022-06-16,215,31,81.0,102.0,1.0,19381,3267
13,2,2022-06-16,207,14,77.0,116.0,0.0,19288,2300
14,0,2022-06-16,66,7,45.0,12.0,2.0,5342,876
14,1,2022-06-16,32,6,21.0,3.0,2.0,2511,485
14,2,2022-06-16,31,1,21.0,9.0,0.0,2767,385
15,0,2022-06-16,26,2,12.0,12.0,0.0,1277,221
15,1,2022-06-16,13,1,7.0,5.0,0.0,643,121
15,2,2022-06-16,13,1,5.0,7.0,0.0,628,96
16,0,2022-06-16,17,0,15.0,2.0,0.0,1660,286
