dep,sexe,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
29,2,2021-02-09,52,2,,,,329,63
2A,0,2021-02-09,13,0,,,,314,79
2A,1,2021-02-09,8,0,,,,146,51
2A,2,2021-02-09,5,0,,,,168,28
2B,0,2021-02-09,46,6,,,,268,54
2B,1,2021-02-09,27,5,,,,147,35
2B,2,2021-02-09,19,1,,,,121,19
30,0,2021-02-09,239,39,,,,1696,404
30,1,2021-02-09,121,25,,,,882,225
30,2,2021-02-09,117,14,,,,807,179
31,0,2021-02-09,428,85,,,,3169,529
31,1,2021-02-09,224,50,,,,1660,327
31,2,2021-02-09,202,35,,,,1494,200
32,0,2021-02-09,97,3,,,,238,69
32,1,2021-02-09,48,2,,,,115,39
32,2,2021-02-09,48,1,,,,123,30
33,0,2021-02-09,423,77,,,,3312,689
33,1,2021-02-09,244,60,,,,1664,377
33,2,2021-02-09,178,17,,,,1632,310
34,0,2021-02-09,247,52,,,,2816,580
34,1,2021-02-09,127,38,,,,1480,341
34,2,2021-02-09,118,13,,,,1327,237
35,0,2021-02-09,420,30,,,,1769,429
35,1,2021-02-09,191,13,,,,919,220
35,2,2021-02-09,226,17,,,,839,207
36,0,2021-02-09,88,4,,,,614,188
36,1,2021-02-09,40,3,,,,318,97
36,2,2021-02-09,48,1,,,,289,90
37,0,2021-02-09,171,40,,,,1141,304
37,1,2021-02-09,96,29,,,,550,180
37,2,2021-02-09,75,11,,,,589,123
38,0,2021-02-09,664,59,,,,4928,1255
38,1,2021-02-09,358,43,,,,2395,727
38,2,2021-02-09,305,16,,,,2500,521
39,0,2021-02-09,193,6,,,,1364,372
39,1,2021-02-09,88,6,,,,617,196
39,2,2021-02-09,104,0,,,,736,175
40,0,2021-02-09,109,16,,,,601,182
40,1,2021-02-09,55,12,,,,303,94
40,2,2021-02-09,54,4,,,,297,85
41,0,2021-02-09,161,8,,,,847,222
41,1,2021-02-09,88,6,,,,424,129
41,2,2021-02-09,73,2,,,,421,93
42,0,2021-02-09,414,48,,,,3796,967
42,1,2021-02-09,227,40,,,,1900,571
42,2,2021-02-09,184,8,,,,1870,388
43,0,2021-02-09,121,4,,,,924,196
43,1,2021-02-09,53,3,,,,449,112
43,2,2021-02-09,67,1,,,,460,82
44,0,2021-02-09,306,32,,,,2271,543
44,1,2021-02-09,138,21,,,,1120,304
44,2,2021-02-09,164,10,,,,1141,237
45,0,2021-02-09,325,54,,,,1790,361
45,1,2021-02-09,175,39,,,,921,209
45,2,2021-02-09,147,14,,,,862,152
46,0,2021-02-09,37,1,,,,215,61
46,1,2021-02-09,17,1,,,,103,34
46,2,2021-02-09,20,0,,,,112,27
47,0,2021-02-09,50,3,,,,513,109
47,1,2021-02-09,21,3,,,,257,65
47,2,2021-02-09,29,0,,,,243,41
48,0,2021-02-09,23,2,,,,281,89
48,1,2021-02-09,12,2,,,,146,49
48,2,2021-02-09,11,0,,,,132,40
49,0,2021-02-09,264,36,,,,2073,513
49,1,2021-02-09,126,26,,,,1007,313
49,2,2021-02-09,134,9,,,,1051,200
50,0,2021-02-09,209,15,,,,765,211
50,1,2021-02-09,99,10,,,,377,120
50,2,2021-02-09,108,5,,,,382,88
51,0,2021-02-09,318,28,,,,2301,667
51,1,2021-02-09,153,21,,,,1118,369
51,2,2021-02-09,159,7,,,,1155,295
52,0,2021-02-09,106,10,,,,829,253
52,1,2021-02-09,50,8,,,,391,132
52,2,2021-02-09,54,2,,,,434,118
53,0,2021-02-09,85,12,,,,864,213
53,1,2021-02-09,37,9,,,,407,115
53,2,2021-02-09,48,3,,,,456,98
54,0,2021-02-09,338,47,,,,3064,870
54,1,2021-02-09,162,30,,,,1464,501
54,2,2021-02-09,176,17,,,,1578,363
55,0,2021-02-09,64,7,,,,989,282
55,1,2021-02-09,30,5,,,,484,156
55,2,2021-02-09,34,2,,,,503,126
56,0,2021-02-09,169,9,,,,1166,267
56,1,2021-02-09,84,6,,,,599,159
56,2,2021-02-09,84,3,,,,558,106
57,0,2021-02-09,506,74,,,,5030,1687
57,1,2021-02-09,269,54,,,,2484,958
57,2,2021-02-09,233,19,,,,2517,713
58,0,2021-02-09,167,5,,,,482,172
58,1,2021-02-09,78,4,,,,214,93
58,2,2021-02-09,88,1,,,,261,77
59,0,2021-02-09,992,138,,,,9969,2343
59,1,2021-02-09,454,90,,,,4966,1277
59,2,2021-02-09,527,46,,,,4901,1057
60,0,2021-02-09,516,38,,,,2655,856
60,1,2021-02-09,233,27,,,,1317,478
60,2,2021-02-09,278,10,,,,1323,373
61,0,2021-02-09,146,8,,,,969,240
61,1,2021-02-09,68,6,,,,434,138
61,2,2021-02-09,76,2,,,,526,99
62,0,2021-02-09,527,70,,,,4684,1124
62,1,2021-02-09,240,51,,,,2277,597
62,2,2021-02-09,284,19,,,,2381,520
63,0,2021-02-09,306,30,,,,1642,490
63,1,2021-02-09,148,20,,,,766,268
63,2,2021-02-09,153,10,,,,862,219
64,0,2021-02-09,201,21,,,,1541,392
64,1,2021-02-09,109,18,,,,761,211
64,2,2021-02-09,90,3,,,,772,179
65,0,2021-02-09,36,6,,,,756,160
65,1,2021-02-09,18,4,,,,362,84
65,2,2021-02-09,18,2,,,,389,76
66,0,2021-02-09,161,23,,,,782,192
66,1,2021-02-09,93,21,,,,416,122
66,2,2021-02-09,68,2,,,,366,70
67,0,2021-02-09,587,81,,,,5059,1293
67,1,2021-02-09,267,49,,,,2590,733
67,2,2021-02-09,317,31,,,,2461,555
68,0,2021-02-09,445,47,,,,4848,1268
68,1,2021-02-09,204,32,,,,2515,742
68,2,2021-02-09,240,15,,,,2324,523
69,0,2021-02-09,854,144,,,,10445,2263
69,1,2021-02-09,437,94,,,,5143,1321
69,2,2021-02-09,408,49,,,,5177,925
70,0,2021-02-09,121,14,,,,809,188
70,1,2021-02-09,51,11,,,,425,111
70,2,2021-02-09,70,3,,,,383,76
71,0,2021-02-09,467,29,,,,3146,837
71,1,2021-02-09,219,19,,,,1464,437
71,2,2021-02-09,242,10,,,,1660,396
72,0,2021-02-09,221,11,,,,1702,397
72,1,2021-02-09,85,6,,,,776,229
72,2,2021-02-09,134,5,,,,918,166
73,0,2021-02-09,114,18,,,,2097,550
73,1,2021-02-09,63,11,,,,1039,316
73,2,2021-02-09,49,7,,,,1050,232
74,0,2021-02-09,250,23,,,,3539,769
74,1,2021-02-09,121,13,,,,1860,457
74,2,2021-02-09,124,10,,,,1662,309
75,0,2021-02-09,858,196,,,,12511,3012
75,1,2021-02-09,476,132,,,,6780,1899
75,2,2021-02-09,374,62,,,,5659,1106
76,0,2021-02-09,641,57,,,,3577,942
76,1,2021-02-09,310,44,,,,1738,522
76,2,2021-02-09,325,13,,,,1811,412
77,0,2021-02-09,432,90,,,,5586,1365
77,1,2021-02-09,226,59,,,,2943,782
77,2,2021-02-09,203,31,,,,2608,580
78,0,2021-02-09,652,56,,,,5370,1279
78,1,2021-02-09,296,44,,,,2732,748
78,2,2021-02-09,355,12,,,,2621,529
79,0,2021-02-09,79,11,,,,604,185
79,1,2021-02-09,42,9,,,,281,105
79,2,2021-02-09,37,2,,,,319,79
80,0,2021-02-09,276,26,,,,1788,574
80,1,2021-02-09,133,17,,,,873,332
80,2,2021-02-09,136,8,,,,880,236
81,0,2021-02-09,167,22,,,,800,240
81,1,2021-02-09,81,19,,,,400,144
81,2,2021-02-09,85,3,,,,396,95
82,0,2021-02-09,86,17,,,,509,124
82,1,2021-02-09,44,12,,,,278,66
82,2,2021-02-09,37,4,,,,225,52
83,0,2021-02-09,571,69,,,,3397,782
83,1,2021-02-09,278,49,,,,1731,451
83,2,2021-02-09,282,18,,,,1637,321
84,0,2021-02-09,290,13,,,,2317,604
84,1,2021-02-09,140,7,,,,1156,354
84,2,2021-02-09,148,6,,,,1126,239
85,0,2021-02-09,113,7,,,,916,175
85,1,2021-02-09,55,6,,,,464,109
85,2,2021-02-09,58,1,,,,450,66
86,0,2021-02-09,72,12,,,,698,173
86,1,2021-02-09,32,6,,,,360,90
86,2,2021-02-09,38,6,,,,337,81
87,0,2021-02-09,83,13,,,,724,215
87,1,2021-02-09,39,10,,,,338,115
87,2,2021-02-09,44,3,,,,383,99
88,0,2021-02-09,186,12,,,,1885,629
88,1,2021-02-09,84,9,,,,899,352
88,2,2021-02-09,101,3,,,,979,274
89,0,2021-02-09,180,15,,,,1385,353
89,1,2021-02-09,88,11,,,,678,200
89,2,2021-02-09,89,4,,,,699,151
90,0,2021-02-09,117,10,,,,1440,491
90,1,2021-02-09,57,6,,,,734,281
90,2,2021-02-09,60,4,,,,706,210
91,0,2021-02-09,705,69,,,,5771,1245
91,1,2021-02-09,316,50,,,,2863,666
91,2,2021-02-09,361,19,,,,2796,560
92,0,2021-02-09,907,114,,,,9332,1858
92,1,2021-02-09,415,75,,,,4950,1111
92,2,2021-02-09,478,39,,,,4348,740
93,0,2021-02-09,755,84,,,,8408,1687
93,1,2021-02-09,378,49,,,,4609,1038
93,2,2021-02-09,366,33,,,,3737,640
94,0,2021-02-09,610,69,,,,9079,2094
94,1,2021-02-09,294,46,,,,4603,1195
94,2,2021-02-09,314,23,,,,4417,883
95,0,2021-02-09,474,46,,,,5655,1341
95,1,2021-02-09,221,33,,,,3041,824
95,2,2021-02-09,249,13,,,,2597,513
971,0,2021-02-09,50,5,,,,806,172
971,1,2021-02-09,30,3,,,,459,104
971,2,2021-02-09,20,2,,,,345,68
972,0,2021-02-09,11,3,,,,394,45
972,1,2021-02-09,5,2,,,,199,30
972,2,2021-02-09,6,1,,,,194,15
973,0,2021-02-09,33,13,,,,2172,76
973,1,2021-02-09,20,10,,,,868,51
973,2,2021-02-09,13,3,,,,1304,25
974,0,2021-02-09,45,14,,,,814,56
974,1,2021-02-09,29,10,,,,393,28
